구분,상태,타이틀,슬러그,키워드1,키워드2,키워드3,키워드4,H2-1,H2-2,H2-3,H2-4,카테고리,비고
Hub-1,신규,개인회생 신청 자격 조건 절차,개인회생-신청-자격-조건,개인회생 신청 자격,개인회생 조건,개인회생 신청 절차,개인회생 신청 방법,개인회생 신청 자격은 뭔가요?,개인회생 조건은 어떻게 되나요?,개인회생 신청 절차는 어떻게 하나요?,개인회생 신청 방법은 뭔가요?,금융/채무,허브 1 - 신청 관련 (8개)
Spoke-1,신규,개인회생 신청자격 요건 기준,개인회생-신청자격-요건,개인회생 신청자격,개인회생 요건,급여소득자,영업소득자,개인회생 신청자격은 뭔가요?,개인회생 요건은 어떻게 되나요?,급여소득자도 신청할 수 있나요?,영업소득자도 가능한가요?,금융/채무,계속적/반복적 수입 필요
Spoke-2,신규,개인회생 신청방법 절차 흐름도,개인회생-신청방법-절차,개인회생 신청방법,개인회생 절차,개인회생 흐름도,개인회생절차 단계,개인회생은 어떻게 신청하나요?,개인회생 절차는 어떻게 되나요?,개인회생 흐름도로 볼 수 있나요?,개인회생절차 단계는 몇 개인가요?,금융/채무,개시신청→개시결정→변제계획안→인가결정→면책
Spoke-3,신규,개인회생 관할법원 서울회생법원,개인회생-관할법원,개인회생 관할법원,서울회생법원,부산회생법원,회생법원 관할,개인회생은 어느 법원에 신청하나요?,서울회생법원에서 신청할 수 있나요?,부산회생법원 관할은 어디인가요?,회생법원 관할은 어떻게 정해지나요?,금융/채무,채무자 보통재판적 소재지
Spoke-4,신규,개인회생 신청서류 첨부서류 제출,개인회생-신청서류-제출,개인회생 신청서류,개인회생 첨부서류,개인회생 제출서류,개인회생 구비서류,개인회생 신청서류는 뭐가 필요한가요?,개인회생 첨부서류는 어떤 게 있나요?,개인회생 제출서류는 언제까지 내나요?,개인회생 구비서류는 어디서 발급하나요?,금융/채무,신청서+재산목록+채권자목록+가계수지 등
Spoke-5,신규,개인회생 신청기간 신청취하 철회,개인회생-신청기간-취하,개인회생 신청기간,개인회생 신청 기한,개인회생 신청취하,개인회생 철회,개인회생 신청기간은 언제까지인가요?,개인회생 신청 기한이 정해져 있나요?,개인회생 신청취하는 가능한가요?,개인회생 철회는 어떻게 하나요?,금융/채무,개시결정 전까지 취하 가능
Spoke-6,신규,개인회생 개시결정 기각 요건,개인회생-개시결정-기각,개인회생 개시결정,개인회생 기각,개시결정 요건,개시결정 효력,개인회생 개시결정은 언제 나나요?,개인회생이 기각되는 경우는 뭔가요?,개시결정 요건은 어떻게 되나요?,개시결정 효력은 어디까지인가요?,금융/채무,신청 후 1~2개월 소요
Spoke-7,신규,개인회생 서류심사 보정 기간,개인회생-서류심사-보정,개인회생 서류심사,개인회생 보정,서류 보정기간,보정명령 대응,개인회생 서류심사는 얼마나 걸리나요?,개인회생 보정 요청이 오면 어떻게 하나요?,서류 보정기간은 얼마인가요?,보정명령에는 어떻게 대응하나요?,금융/채무,보정기간 내 미제출 시 각하
Spoke-8,신규,개인회생 변경신청 추가제출 기한,개인회생-변경신청-기한,개인회생 변경신청,서류 추가제출,신청서 변경,변경신청 기한,개인회생 변경신청은 가능한가요?,서류 추가제출은 언제까지 하나요?,신청서 변경은 어떻게 하나요?,변경신청 기한은 언제까지인가요?,금융/채무,개시결정 전까지 변경 가능
Hub-2,신규,개인회생 비용 예납금 수수료 분할납부,개인회생-비용-예납금,개인회생 비용,개인회생 예납금,개인회생 수수료,개인회생 분할납부,개인회생 비용은 얼마인가요?,개인회생 예납금은 어떻게 내나요?,개인회생 수수료는 얼마나 드나요?,개인회생 분할납부는 가능한가요?,금융/채무,허브 2 - 비용 관련 (10개)
Spoke-9,신규,개인회생 인지대 3만원 납부,개인회생-인지대,개인회생 인지대,인지대 3만원,개인회생 인지,인지 납부방법,개인회생 인지대는 얼마인가요?,인지대 3만원은 어디에 붙이나요?,개인회생 인지는 어디서 사나요?,인지 납부방법은 어떻게 되나요?,금융/채무,신청서에 3만원 수입인지 첨부
Spoke-10,신규,개인회생 예납금 송달료 공고비용,개인회생-예납금-공고비용,개인회생 예납금,예납금 금액,송달료 예납,공고비용,개인회생 예납금은 얼마인가요?,예납금 금액은 어떻게 계산하나요?,송달료 예납은 얼마나 드나요?,공고비용은 포함되나요?,금융/채무,송달료 10회분 + 채권자수×8회분
Spoke-11,신규,개인회생 추가예납 비용부족 처리,개인회생-추가예납,개인회생 추가예납,예납금 부족,추가 비용 납부,예납금 추가,개인회생 추가예납 요청이 오면 어떻게 하나요?,예납금이 부족하면 어떻게 되나요?,추가 비용은 얼마나 내야 하나요?,예납금 추가납부 기한은 언제까지인가요?,금융/채무,법원이 추가예납 명령 가능
Spoke-12,신규,개인회생 비용 납입 안하면 각하,개인회생-비용-미납-각하,개인회생 비용 미납,예납금 안내면,비용 각하,예납 기한,개인회생 비용을 안 내면 어떻게 되나요?,예납금 안 내면 각하되나요?,비용 각하 처리는 언제 되나요?,예납 기한은 언제까지인가요?,금융/채무,기한 내 미납 시 신청 각하
Spoke-13,신규,개인회생 변호사 비용 선임 수수료,개인회생-변호사-비용,개인회생 변호사 비용,개인회생 변호사 수수료,변호사 선임,개인회생 대리인,개인회생 변호사 비용은 얼마인가요?,개인회생 변호사 수수료는 어떻게 되나요?,변호사 선임은 필수인가요?,개인회생 대리인 선임 비용은 얼마나 드나요?,금융/채무,본인 신청 가능하나 변호사 권장
