번호,머니위키 타이틀,카테고리,우선순위,예상 트래픽,CPC,핵심 내용
1,5세대 실손보험 갈아타기 가이드,보험,상,10000,5,보험료 30% 저렴/도수치료 제외/비급여 50%
2,종신보험 상속세 절세 방법,보험/세금,상,8000,4,상속세 50% 폭탄/보험금 유동화/연금 전환
3,무보험 교통사고 대처법,보험,상,7000,3,무보험차 상해특약/뺑소니 대처
4,자동차보험 자손 자상 비교,보험,상,6000,3,자기신체사고 vs 자동차상해특약
5,자동차보험 vs 운전자보험,보험,상,5000,3,차량 vs 사람 기준 보장
6,암보험 필요성 산정특례,보험,상,4500,4,산정특례/비급여 치료/중입자 치료
7,자동차보험료 할인 방법,보험,상,4000,2,운전경력/블랙박스/안전장치
8,자동차보험료 할인 할증 제도,보험,상,3800,2,무사고 할인/사고 할증
9,자동차보험 안전장치 할인,보험,상,3500,2,블랙박스/ESC/에어백
10,운전자보험 보험료 할증 방지,보험,상,3200,3,자비 부담 vs 보험 처리
11,교통사고 실손보험 중복 청구,보험,상,3000,3,자동차보험 우선/추가 보상
12,교통사고 실손보험 처리 주의,보험,상,2800,3,진료수가 차이/경제적 손해
13,2026년 자동차보험료 인상,보험,상,2500,2,손해율 85.7%/폭설 사고
14,보험 가입 전 필수 체크 사항,보험,중,2000,1,보장성/저축성/주계약/특약
15,세입자 화재보험 가입 필요성,보험,중,1800,2,화재 손해배상/임차인 책임
16,자동차 즉석 수리 보험 처리,보험,중,1600,2,1급 정비소/보험처리 거절
17,일상생활배상책임보험 보장 범위,보험,중,1500,2,일상사고/법률 배상
18,보험료 부담 줄이는 방법,보험,중,1400,1,소득 수준/보상방식
19,보험 주계약 특약 차이,보험,중,1300,1,주계약 vs 특약 구조
20,사망보험금 유동화 제도,보험,중,1200,2,연금 수령/종신보험 활용
21,실손보험 청구 전산화 서비스,보험,중,1100,1,실손24/간편 청구
22,간병비 보험 특약,보험,중,1000,2,간병인 일당/월평균 370만원
23,교통사고 처리 특례법,보험,중,950,2,12대 중과실/공소권
24,이중주차 사고 보험 처리,보험,중,900,2,자동차보험 제외/보험사기 주의
25,보험 해지 전 고려사항,보험,중,850,1,효력상실환급금/경제적 부담
26,여행자 보험 필요성,보험,중,800,2,해외여행/의료비 보장
27,4세대 실손보험 특징,보험,중,750,2,실손보험 세대 비교
28,펫보험 보험료 절약 방법,보험,중,700,2,반려동물 의료비/월 6만원
29,건강보험료 환급금 조회,보험/복지,중,650,1,이중 납부/소득 정산
30,사망보험금 분할 지급 신탁,보험,중,600,2,보험금 청구권 신탁/3천만원
31,드라이브스루 사고 보험,보험,하,550,1,자기차량손해/대물배상
32,사망보험금 유동화 제도 분석,보험,중,500,2,종신보험 연금 전환
33,실손24 네이버페이 청구,보험,중,480,1,서류 없이 청구/포인트 3천원
34,보험금 청구 면책기간,보험,중,460,1,면책기간/감액기간
35,1인 사업자 고용보험료 지원,복지,중,440,2,최대 100% 지원/5년간
36,차박 캠핑 사고 보험,보험,하,420,1,자동차보험 제외/운행 중 사고
37,교통사고 과실비율 분쟁,보험,중,400,2,분쟁심의위원회/소송 비용
38,교통사고 치료비 청구 기한,보험,중,380,2,소멸시효 3년/각 치료일 기준
39,CCTV 영상 확보 방법,보험,중,360,1,정보공개포털/블랙박스 보완
40,교통사고 대인접수 의미,보험,중,340,2,가해자 아님/과실책임주의
41,교차로 비접촉 사고,보험,중,320,2,급정거/인과관계
42,사고 후 병원비 수리비 처리,보험,중,300,2,접수번호/보험사 보증
43,견인차 과도 요금 대처,보험,하,280,1,부르지 않은 견인차 거절
44,교통사고 신고 의무,보험,중,260,1,12대 중과실 신고 필수
45,비접촉 교통사고 책임,보험,중,240,2,인과관계/경찰 신고
46,블랙박스 영상 불충분 시,보험,중,220,1,도로 CCTV 확보 방법
47,대인접수 가해자 오해,보험,중,200,2,대인배상/과실비율
48,보험사 규모별 현장출동,보험,하,180,1,대형 vs 중소형 품질
49,보험 용어 정리,보험,하,160,1,가입설계서/보험금 청구
50,보험의 의미와 필요성,보험,하,140,1,위험 보호/보험 기초
