번호,카테고리,타이틀,슬러그,키워드1,키워드2,키워드3,키워드4,description,H2-1,H2-2,H2-3,H2-4,상태,파일타입
41,실업급여,실업급여 구직활동 인정 증빙 방법 | 워크넷 입사지원 온라인 교육,실업급여-구직활동,실업급여 구직활동,인정 증빙 방법,워크넷 입사지원,온라인 교육,"구직활동은 1차 온라인 교육부터 워크넷 입사지원까지 다양하다는 사실, 알고 계셨나요? 인정 기준과 증빙 방법을 정리해드려요.",실업급여 구직활동 인정 기준은 무엇인가요?,실업급여 구직활동 증빙 방법은 어떻게 되나요?,워크넷 입사지원으로 구직활동 인정받는 방법은?,실업급여 구직활동 온라인 교육은 무엇인가요?,리라이트,wiki-md
42,실업급여,실업급여 기준기간 이직일 이전 18개월 | 피보험기간 180일 합산 방법,실업급여-기준기간,실업급여 기준기간,이직일 이전 18개월,피보험기간 180일,합산 방법,"여러 회사 경력을 합쳐서 피보험기간 180일을 채울 수 있는지 고민이시죠? 이직일 기준 18개월 계산법부터 합산 방법까지 알려드려요.",실업급여 기준기간은 무엇인가요?,이직일 이전 18개월은 어떻게 계산하나요?,피보험기간 180일은 어떻게 채우나요?,실업급여 피보험기간 합산 방법은 어떻게 되나요?,리라이트,wiki-md
43,실업급여,실업급여 기초일액 평균임금 60% 계산 | 상한액 하한액 적용 기준,실업급여-기초일액,실업급여 기초일액,평균임금 60% 계산,상한액 하한액,적용 기준,"실업급여는 퇴직 전 평균임금의 60%를 지급받는다는 사실, 알고 계셨나요? 기초일액 계산 방법부터 상한액 하한액 적용까지 정리해드려요.",실업급여 기초일액은 어떻게 계산하나요?,실업급여 평균임금 60%는 어떻게 산정하나요?,실업급여 상한액 하한액은 얼마인가요?,실업급여 1일 지급액 적용 기준은 어떻게 되나요?,리라이트,wiki-md
44,실업급여,실업급여 미지급 사망 시 유족 청구 | 배우자 자녀 수급 순위,실업급여-미지급-상속,실업급여 미지급,사망 시 유족 청구,배우자 자녀 순위,3년 소멸시효,"실업급여 수급자가 사망하면 유족이 대신 받을 수 있는지 고민이시죠? 배우자 자녀 수급 순위부터 3년 청구 시효까지 알려드려요.",실업급여 미지급은 누가 받나요?,실업급여 사망 시 유족 청구는 어떻게 하나요?,실업급여 배우자 자녀 수급 순위는 어떻게 되나요?,실업급여 미지급 3년 소멸시효는 언제부터인가요?,리라이트,wiki-md
45,실업급여,실업급여 반복수급 감액 기준 | 단계별 삭감률 계산 방법,실업급여-반복수급,실업급여 반복수급,감액 기준,단계별 삭감률,계산 방법,"5년간 3회 이상 받으면 최대 50%까지 감액된다는 사실, 알고 계셨나요? 반복수급 감액 기준부터 단계별 삭감률 계산까지 정리해드려요.",실업급여 반복수급 감액 기준은 무엇인가요?,실업급여 반복수급 단계별 삭감률은 어떻게 되나요?,실업급여 반복수급 감액은 어떻게 계산하나요?,실업급여 반복수급 대기기간 연장은 뭐예요?,리라이트,wiki-md
46,실업급여,실업급여 부정수급 반환 징수 기준 | 추가징수 5배 감면 조건,실업급여-부정수급-반환-및-징수-기준,실업급여 부정수급,반환 징수 기준,추가징수 5배,감면 조건,"부정수급 적발 시 받은 금액의 5배까지 추가 징수될 수 있는지 고민이시죠? 전액 반환 기준부터 자진신고 감면 조건까지 알려드려요.",실업급여 부정수급 반환 기준은 얼마인가요?,실업급여 부정수급 징수 기준은 무엇인가요?,실업급여 부정수급 추가징수 5배는 어떻게 되나요?,실업급여 부정수급 감면 조건은 뭐예요?,리라이트,wiki-md
47,실업급여,실업급여 부정수급 형사처벌 기준 | 자진신고 처벌 감경 방법,실업급여-부정수급,실업급여 부정수급,형사처벌 기준,자진신고,처벌 감경 방법,"부정수급 시 최대 3년 이하 징역 또는 3천만원 벌금을 받는다는 사실, 알고 계셨나요? 형사처벌 기준부터 자진신고 감경 조건까지 정리해드려요.",실업급여 부정수급 형사처벌은 어느 정도인가요?,실업급여 부정수급 형사처벌 기준은 무엇인가요?,실업급여 부정수급 자진신고하면 어떻게 되나요?,실업급여 부정수급 처벌 감경 방법은 뭐예요?,리라이트,wiki-md
48,실업급여,실업급여 비과세 소득 | 연말정산 소득세 신고 제외,실업급여-비과세,실업급여 비과세,소득세 면제,연말정산 제외,종합소득세 신고,"실업급여는 비과세 소득이라 연말정산에서 제외된다는 거 알고 계셨나요? 소득세 면제 조건부터 종합소득세 신고 제외까지 알려드려요.",실업급여 비과세는 무슨 뜻인가요?,실업급여 소득세 면제는 어떻게 되나요?,실업급여 연말정산 제외는 왜 되나요?,실업급여 종합소득세 신고는 어떻게 되나요?,리라이트,wiki-md
49,실업급여,2026년 실업급여 상한액 인상 금액 | 일 68100원 월 수령액 계산,실업급여-상한액,실업급여 상한액,2026년 인상,일 68100원,월 수령액 계산,"2026년 실업급여 상한액이 68100원으로 6년 만에 인상되는지 고민이시죠? 일 68100원 기준부터 월 수령액 계산법까지 알려드려요.",2026년 실업급여 상한액은 얼마인가요?,실업급여 상한액 인상 금액은 어떻게 되나요?,실업급여 일 68100원은 어떻게 계산하나요?,실업급여 월 수령액은 어떻게 계산하나요?,리라이트,wiki-md
50,실업급여,실업급여 수급 중 건강보험 | 지역가입자 전환 보험료 부담,실업급여-세금,실업급여 수급 중,건강보험 지역가입자,보험료 부담,임의계속가입,"실업급여를 받으면 건강보험이 지역가입자로 전환된다는 사실, 알고 계셨나요? 지역가입자 전환 시점부터 보험료 부담 감면까지 정리해드려요.",실업급여 수급 중 건강보험은 어떻게 되나요?,실업급여 건강보험 지역가입자 전환은 언제 되나요?,실업급여 수급 중 보험료 부담은 얼마인가요?,실업급여 수급 중 임의계속가입은 무엇인가요?,리라이트,wiki-md
