type,category,title,keywords,h2_questions
hub,법률/민사,가처분 신청 방법 요건 — 관할법원 비용 집행 취소,"[""가처분"",""가처분 신청"",""가처분 요건"",""가처분 관할"",""가처분 비용"",""가처분 집행"",""가처분 취소""]","[""가처분이란 무엇인가요?"",""가처분 신청 요건은 어떻게 되나요?"",""가처분 관할법원은 어디인가요?"",""가처분 비용은 얼마나 드나요?"",""가처분 집행은 어떻게 하나요?"",""가처분 취소는 언제 가능한가요?""]"
spoke,법률/민사,가처분 개념과 종류 — 다툼 대상과 임시 지위,"[""가처분"",""가처분 개념"",""가처분 종류"",""임시 지위 가처분""]","[""가처분이란 무엇인가요?"",""가처분 개념은 어떻게 되나요?"",""가처분 종류에는 무엇이 있나요?"",""임시 지위 가처분은 언제 쓰나요?""]"
spoke,법률/민사,가처분 신청 요건과 당사자 — 피보전권리 보전 필요성,"[""가처분 신청"",""가처분 요건"",""가처분 당사자"",""피보전권리""]","[""가처분 신청은 어떻게 하나요?"",""가처분 요건은 무엇인가요?"",""가처분 당사자는 누구인가요?"",""피보전권리는 무엇을 말하나요?""]"
spoke,법률/민사,가처분 관할 결정 — 본안관할법원 전속관할,"[""가처분 신청"",""가처분 관할"",""본안관할법원"",""전속관할""]","[""가처분 신청은 어느 법원에 하나요?"",""가처분 관할법원은 어디인가요?"",""본안관할법원이란 무엇인가요?"",""전속관할은 언제 적용되나요?""]"
spoke,법률/민사,가처분 심리와 재판 — 담보 제공 심문,"[""가처분"",""가처분 심리"",""가처분 재판"",""담보 제공""]","[""가처분 절차는 어떻게 되나요?"",""가처분 심리는 어떻게 진행되나요?"",""가처분 재판은 언제 나오나요?"",""담보 제공은 얼마나 해야 하나요?""]"
spoke,법률/민사,가처분 명령과 담보 공탁 — 공탁 방법 취소,"[""가처분 명령"",""가처분 담보"",""담보 공탁"",""공탁""]","[""가처분 명령은 언제 나오나요?"",""가처분 담보는 얼마인가요?"",""담보 공탁은 어떻게 하나요?"",""공탁은 무엇을 말하나요?""]"
spoke,법률/민사,가처분 등기 — 부동산 소유권 가등기,"[""가처분 집행"",""가처분 등기"",""부동산 가처분"",""가등기""]","[""가처분 집행은 어떻게 하나요?"",""가처분 등기는 무엇인가요?"",""부동산 가처분은 언제 쓰나요?"",""가등기는 어떻게 하나요?""]"
spoke,법률/민사,가처분 취소와 이의신청 — 공탁금 회수 각하,"[""가처분 취소"",""가처분 이의"",""이의신청"",""공탁금 회수""]","[""가처분 취소는 언제 되나요?"",""가처분 이의는 어떻게 제기하나요?"",""이의신청 기간은 언제까지인가요?"",""공탁금 회수는 어떻게 하나요?""]"
spoke,법률/민사,가처분 항고 기간 — 재항고 즉시항고,"[""가처분 불복"",""가처분 항고"",""재항고"",""즉시항고""]","[""가처분 불복은 어떻게 하나요?"",""가처분 항고 기간은 언제까지인가요?"",""재항고는 언제 할 수 있나요?"",""즉시항고는 무엇인가요?""]"
spoke,법률/민사,가처분 등기 회복과 말소 — 말소 절차 효력,"[""가처분 등기"",""등기 회복"",""등기 말소"",""가처분 효력""]","[""가처분 등기는 어떻게 하나요?"",""등기 회복은 언제 하나요?"",""등기 말소는 어떻게 하나요?"",""가처분 효력은 언제까지인가요?""]"
spoke,법률/민사,가처분 본안소송과 피보전권리 — 본안판결 승소 패소,"[""가처분"",""본안소송"",""피보전권리"",""본안판결""]","[""가처분 후 본안소송은 필수인가요?"",""본안소송은 언제 제기해야 하나요?"",""피보전권리는 어떻게 증명하나요?"",""본안판결이 나오면 가처분은 어떻게 되나요?""]"
spoke,법률/민사,가처분 제소명령과 기간 — 본안소송 제기 시효,"[""제소명령"",""제소기간"",""본안소송 제기"",""가처분 시효""]","[""제소명령이란 무엇인가요?"",""제소기간은 얼마나 되나요?"",""본안소송 제기는 언제까지 해야 하나요?"",""가처분 시효는 언제까지인가요?""]"
spoke,법률/민사,가처분 강제경매와 낙찰 — 매각 허가 결정,"[""가처분"",""강제경매"",""낙찰"",""매각 허가""]","[""가처분 중 강제경매가 가능한가요?"",""강제경매는 어떻게 진행되나요?"",""낙찰받으면 가처분은 어떻게 되나요?"",""매각 허가 결정은 언제 나오나요?""]"
spoke,법률/민사,가처분 신청서 작성과 소명 — 소명자료 증거,"[""가처분 신청서"",""신청서 작성"",""소명"",""소명자료""]","[""가처분 신청서는 어떻게 쓰나요?"",""신청서 작성 시 주의할 점은 무엇인가요?"",""소명이란 무엇인가요?"",""소명자료는 어떤 것을 제출해야 하나요?""]"
spoke,법률/민사,가처분 점유자 — 부동산점유이전금지가처분 효력,"[""부동산점유이전금지가처분"",""점유이전금지"",""가처분 점유자"",""점유 보호""]","[""부동산점유이전금지가처분이란 무엇인가요?"",""점유이전금지는 언제 신청하나요?"",""가처분 점유자는 누구를 말하나요?"",""점유 보호는 어떻게 받나요?""]"
spoke,법률/민사,가처분 인지액 — 소송비용 수수료 계산,"[""가처분 비용"",""가처분 인지액"",""소송비용"",""인지대""]","[""가처분 비용은 얼마나 드나요?"",""가처분 인지액은 어떻게 계산하나요?"",""소송비용에는 무엇이 포함되나요?"",""인지대는 얼마나 내야 하나요?""]"
