# 묶음 실행 목록 — 줄마다: slug | 주제 한 줄 | 카테고리(비우면 파이프라인이 고름) | 키워드 파일 | 타이틀
# npm run article -- --batch scripts/batch.txt --parallel 4 --batch-budget 90
# 글 작성이 구독 사용량의 대부분이다 (편당 약 $2.8). 상한: 글당 --budget, 묶음 --batch-budget

# ── 직군·고용형태 7편 ──
# [통과 2026-09-14] 건설일용직-실업급여 | 건설일용직 실업급여: 근로일수 요건, 피보험단위기간 계산, 근로내역확인신고, 신청 순서 | 고용 | scripts/keywords/실업급여.json | 건설일용직 실업급여 근로일수 요건과 단위기간 계산
단시간-근로자-실업급여 | 단시간 근로자 실업급여: 주 15시간 기준, 초단시간 적용제외, 피보험단위기간 환산, 금액 계산 | 고용 | scripts/keywords/실업급여.json | 단시간 근로자 실업급여 주 15시간 기준과 적용제외
# [통과 2026-09-14] 파견직-실업급여 | 파견직 실업급여: 계약만료 판정, 사용사업주 변경, 재계약 거절, 이직확인서 사유 | 고용 | scripts/keywords/실업급여.json | 파견직 실업급여 계약만료 판정과 사용사업주 변경
# [통과 2026-09-14] 특고-실업급여 | 특수고용직 실업급여: 노무제공자 범위, 고용보험 가입, 소득감소 이직, 신청 방법 | 고용 | scripts/keywords/실업급여.json | 특수고용직 실업급여 받는 법
# [통과 2026-09-14] 예술인-실업급여 | 예술인 실업급여: 문화예술용역계약, 가입 요건, 소득 요건, 신청 방법 | 고용 | scripts/keywords/실업급여.json | 예술인 실업급여 문화예술용역계약과 가입 요건
# [통과 2026-09-14] 외국인-실업급여 | 외국인 실업급여: 고용보험 적용 범위, E-9 당연·임의가입, F-2·F-5, 출국과 수급 | 고용 | scripts/keywords/실업급여.json | 외국인 실업급여 적용 범위와 체류자격별 가입
# [통과 2026-09-14] 공무원-실업급여 | 공무원 실업급여: 적용제외 이유, 기간제 교사, 사립학교 교직원, 무기계약직 | 고용 | scripts/keywords/실업급여.json | 공무원 실업급여 적용제외 이유와 예외 직군

# ── 퇴사 사유 4편 ──
# [통과 2026-09-14 재실행] 중대귀책사유-실업급여 | 중대귀책사유 실업급여: 수급 불가 3가지, 금고 이상 형, 재산상 손해, 무단결근 기준 | 고용 | scripts/keywords/실업급여.json | 중대귀책사유 실업급여 불가 사유 3가지와 판정 기준
# [통과 2026-09-14] 희망퇴직-실업급여 | 희망퇴직 실업급여: 수급 인정 여부, 위로금과 영향, 상실코드 확인, 신청 순서 | 고용 | scripts/keywords/실업급여.json | 희망퇴직 실업급여 인정 여부와 위로금
# [통과 2026-09-14] 근로조건-변경-실업급여 | 근로조건 변경 퇴사 실업급여: 인정 요건, 임금 20% 삭감, 전보·업무 변경, 증빙 서류 | 고용 | scripts/keywords/실업급여.json | 근로조건 변경 퇴사 실업급여 인정 요건
# [통과 2026-09-14] 육아휴직-후-실업급여 | 육아휴직 후 퇴사 실업급여: 복직 없이 퇴사, 정당한 사유 인정, 수급기간 연기, 육아휴직급여 반환 | 고용 | scripts/keywords/실업급여.json | 육아휴직 후 퇴사 실업급여 정당한 사유와 복직 의무
