title,keyword1,keyword2,keyword3,keyword4,description,category
"원천징수 대상 및 의무자: 원천세 납부 주체와 대상 소득","원천징수 대상","원천징수의무자","원천세 납부","원천세 개념","원천징수가 뭔지 헷갈리시죠? 누가 세금을 떼고 누구에게 내야 하는지, 어떤 소득이 대상인지 명확하게 알려드려요","세금"
"원천세 세율 체계: 3.3%와 8.8% 세율 적용 기준","원천세 세율","원천세 3.3%","원천세 8.8%","근로소득 원천징수율","프리랜서는 3.3%, 사업소득은 8.8%라는 거 아시나요? 원천세 세율이 왜 다른지 적용 기준을 알려드려요","세금"
"원천세 신고 및 납부: 신고 방법과 잘못 납부 시 처리","원천세 신고 방법","원천세 납부 기한","원천세 잘못 납부","근로소득원천징수영수증","원천세 신고는 어떻게 하고, 잘못 냈을 때는 어떻게 돌려받는지 궁금하시죠? 신고부터 환급까지 전체 절차를 알려드려요","세금"
"월급 세금 공제 항목: 소득세와 지방소득세 계산","월급 세금","월급 공제 항목","월급 세금 계산","소득세 지방소득세","월급에서 얼마나 떼가는지 궁금하시죠? 소득세, 지방소득세 계산 방법과 실제 공제액을 알려드려요","세금"
"월급별 세금 계산: 300만원과 700만원 실수령액","월급 300만원 세금","월급 700만원 세금","월급 실수령액","급여 세금 계산","월급 300만원과 700만원 받으면 세금 얼마나 떼는지 궁금하시죠? 실수령액 계산 방법을 알려드려요","세금"
"4대보험 공제액 계산: 국민연금 건강보험 요율","4대보험 공제액","국민연금 요율","건강보험 요율","4대보험 없이 근로","월급에서 4대보험이 얼마나 빠지는지 궁금하시죠? 국민연금 4.5%, 건강보험 3.545% 등 공제액 계산을 알려드려요","세금"
"연말정산 놓쳤을 때: 기한 후 신고 방법과 퇴사자 처리","연말정산 기한 후 신고","연말정산 놓쳤을 때","12월 31일 퇴사 연말정산","퇴사자 연말정산","연말정산 기한 놓쳤다고 포기하시나요? 5월 종합소득세 신고로 환급받는 방법을 알려드려요","세금"
"종합소득세 신고 대상: 제외 대상과 미신고 불이익","종합소득세 신고 대상","종합소득세 제외 대상","종합소득세 미신고","5월 종합소득세","종합소득세 꼭 신고해야 하는지 헷갈리시죠? 신고 대상 여부와 안 냈을 때 불이익을 알려드려요","세금"
"세금 납부 확인 방법: 납부 내역 조회 및 소득 확인","세금 납부 확인","납부세액 조회","내 소득 확인","납부세액 마이너스","내가 낸 세금이 얼마인지 궁금하시죠? 홈택스에서 납부 내역 조회하고 환급받는 방법을 알려드려요","세금"
"월세 소득 신고: 30일 이내 신고 의무와 미신고 과태료","월세 소득 신고","월세 미신고 과태료","월세 신고 기한","임대소득 신고","월세 받으면 꼭 신고해야 하는지 궁금하시죠? 30일 이내 신고 안 하면 과태료가 얼마인지 알려드려요","세금"
"2025년 비과세 한도: 식대 및 실업급여 기준","2025년 식대 비과세 한도","비과세 식대","2025 실업급여 금액","실업급여 한달","2025년 식대 비과세 한도가 얼마인지 아시나요? 실업급여도 한 달에 얼마나 받는지 알려드려요","세금"
"법인세 신고 기한: 연간 신고 횟수와 납부 일정","법인세 신고 기한","법인세 1년 몇번","법인세 중간예납","법인세 납부 일정","법인세는 1년에 몇 번 내야 하는지 궁금하시죠? 중간예납과 확정신고 일정을 알려드려요","세금"
"지방세 납부 기한: 지연 납부 시 가산금","지방세 납부 기한","지방세 가산금","지방세 연체","지방세 늦게 납부","지방세 늦게 내면 가산금이 얼마나 붙는지 아시나요? 납부 기한과 연체료 계산 방법을 알려드려요","세금"
"특수 직업 세금: 목사 과세 여부와 대학원생 세금","목사 세금","대학원 월급 세금","종교인 과세","대학원생 소득세","목사도 세금을 내야 하는지 궁금하시죠? 종교인 과세와 대학원생 월급 세금 처리를 알려드려요","세금"
