# 타이틀을 고정하고 본문을 그 타이틀에 맞춰 다시 쓴다 (13편)
# 줄마다: slug | 주제 | 카테고리 | 키워드파일 | 타이틀(고정 — 설계 단계가 새로 짓지 않는다)
# npm run article -- --batch scripts/batch-retitle-13.txt --rewrite --from plan --parallel 4 --batch-budget 60

실업급여-건강보험-감면 | 실업급여 수급 중 건강보험료 감면 요건, 임의계속가입 신청, 보험료 조정 신청 | 고용 | scripts/keywords/실업급여.json | 실업급여 건강보험료 감면, 임의계속가입부터 조정 신청까지
2026년-실업급여 | 2026년 실업급여 상한액과 수급 조건, 신청 방법 | 고용 | scripts/keywords/실업급여.json | 2026년 실업급여 상한액, 조건부터 신청 방법까지
65세-이상-실업급여 | 65세 이상 실업급여 수급 조건, 계속 고용된 경우, 실업수당 | 고용 | scripts/keywords/실업급여.json | 65세 이상 실업급여 수급 조건, 계속 고용부터 실업수당까지
DB형-퇴직연금-수령-세금-계산 | DB형 퇴직연금 수령 세금 계산, 연금 전환, IRP 중도인출 | 퇴직금 | scripts/keywords/IRP-중도인출-조건.json | DB형 퇴직연금 수령 세금 계산, 연금 전환부터 IRP 중도인출까지
DC형-퇴직연금-수령-운용수익-포함 | DC형 퇴직연금 운용수익 계산, 원리금 보장 상품, 중도인출 | 퇴직금 | scripts/keywords/IRP-중도인출-조건.json | DC형 퇴직연금 운용수익 계산, 원리금 보장부터 중도인출까지
IRP-세액공제-한도-연말정산-절세 | IRP 세액공제 한도와 900만원 한도, 연금저축 배분, 중도해지 | 금융 | scripts/keywords/IRP-세액공제-한도.json | IRP 세액공제 한도와 IRP 900만원, 연금저축 배분부터 중도해지까지
연금저축펀드-세액공제-한도 | 연금저축펀드 세액공제 한도와 공제율, IRP 합산 한도 | 금융 | scripts/keywords/IRP-세액공제-한도.json | 연금저축펀드 세액공제 한도, 공제율부터 IRP 세액공제 한도까지
연금저축-종신연금-세율 | 연금저축 종신연금 세율, 확정기간형 세율, 종신형 수령 조건 | 금융 | scripts/keywords/IRP-세액공제-한도.json | 연금저축 종신연금 세율, 확정기간형 16.5%부터 종신형 조건까지
5세대-실손보험-청구-방법 | 5세대 실손보험 청구 방법, 필요 서류, 지급 기간 | 보험 | scripts/keywords/의료비-실비보험-청구-방법.json | 5세대 실손보험 청구 방법, 필요 서류부터 지급 기간까지
보험금-청구-절차-지급기한 | 보험금 청구 절차와 지급기한, 지연이자 계산 | 보험 | scripts/keywords/의료비-실비보험-청구-방법.json | 보험금 청구 절차와 지급기한, 지연이자 계산까지
보험금-분쟁조정-신청-방법 | 보험금 분쟁조정 신청 방법과 접수처, 처리 기간, 소송 지원 | 보험 | scripts/keywords/자손-자상-보상-방식.json | 보험금 분쟁조정 신청 방법과 접수처, 처리 기간부터 소송 지원까지
2026년-건강보험료 | 2026년 건강보험료율과 지역가입자 보험료 산정, 장기요양보험료 | 세금 | scripts/keywords/지역가입자-건강보험료-표.json | 2026년 건강보험료율과 지역가입자 산정, 장기요양보험료까지
건강보험료-연말정산-추가납부 | 건강보험료 연말정산 추가납부와 분할납부, 환급금 조회 | 세금 | scripts/keywords/지역가입자-건강보험료-표.json | 건강보험료 연말정산 추가납부, 분할납부부터 환급금 조회까지
